season,tournament,tournament_key,surface,surface_speed,matches_used,ace_rate,service_win_rate
2000,Amsterdam,amsterdam,Clay,1.0404283729533537,31,0.05470292656738993,0.6333890212739522
2000,Atlanta,atlanta,Clay,0.9607911540346133,31,0.05158961724788816,0.5859469357483039
2000,Barcelona,barcelona,Clay,1.0245531798489431,55,0.054709667401099164,0.6206656298540086
2000,Bastad,bastad,Clay,0.9527188696108804,31,0.04926650033064604,0.5915895251013503
2000,Bogota,bogota,Clay,1.03267545391908,31,0.059133152231393565,0.6041282613137521
2000,Bucharest,bucharest,Clay,0.9446026830678583,31,0.0475483769662843,0.5940473662567471
2000,Casablanca,casablanca,Clay,0.845937799385569,31,0.035225398336092374,0.5793438551714482
2000,Estoril,estoril,Clay,0.8219990988555316,31,0.031182688858409125,0.5812575391519149
2000,Gstaad,gstaad,Clay,1.0361042339775504,31,0.05871136385780348,0.609064598636208
2000,Hamburg Masters,hamburg masters,Clay,1.0778392252399323,63,0.06444675529592435,0.6125623777627397
2000,Kitzbuhel,kitzbuhel,Clay,1.024151165109828,47,0.05841741026388075,0.6010414237588572
2000,Mallorca,mallorca,Clay,1.0359080545833157,31,0.05685318370796181,0.6185816805514947
2000,Mexico City,mexico city,Clay,0.9671568064034248,31,0.050551570984842545,0.5964388800844906
2000,Monte Carlo Masters,monte carlo masters,Clay,0.9648962463199967,63,0.0524938754517189,0.5845202814927116
2000,Munich,munich,Clay,1.0990605242324558,31,0.06563343881132015,0.6233455699513887
2000,Orlando,orlando,Clay,1.0552478114423074,31,0.060094235432522056,0.6171657899499948
2000,Palermo,palermo,Clay,0.9507928938486808,31,0.04867830705558171,0.5931123782247475
2000,Roland Garros,roland garros,Clay,0.9884370432966443,127,0.05439165660993,0.5934552915221321
2000,Rome Masters,rome masters,Clay,1.1123799892496693,63,0.06887103911958387,0.6171359106224934
2000,San Marino,san marino,Clay,1.001167743752742,31,0.05619715911763124,0.5942307102037523
2000,Santiago,santiago,Clay,1.149498649203408,31,0.07265108652505768,0.6271237966352833
2000,St. Poelten,st poelten,Clay,0.9198213383124777,31,0.04629729634008283,0.5807540543622951
2000,Stuttgart Outdoor,stuttgart outdoor,Clay,1.0591669544329896,31,0.061889722392954157,0.6109506856373214
2000,Umag,umag,Clay,0.8728917520063834,31,0.03916985143061132,0.5803516538318183
2000,World Team Cup,world team cup,Clay,1.037154680385235,26,0.05847953216374269,0.6111111111111112
2000,'s-Hertogenbosch,s hertogenbosch,Grass,0.9061386393312036,31,0.08160363503246737,0.6311046883317682
2000,Halle,halle,Grass,1.1039920800430547,31,0.1067000121833354,0.6614505444977293
2000,Newport,newport,Grass,0.9681602999894666,31,0.08737489381303662,0.6447236153488093
2000,Nottingham,nottingham,Grass,1.0510723649676468,31,0.09922781428361557,0.6548224479737506
2000,Queen's Club,queen s club,Grass,1.0256633005341087,55,0.10176362322856895,0.6396419195160755
2000,Wimbledon,wimbledon,Grass,0.9740550791221192,127,0.0884156978346086,0.6450534648278112
2000,Adelaide,adelaide,Hard,0.9392573614794264,31,0.06119212820033294,0.6227878708780967
2000,Auckland,auckland,Hard,0.929545512846381,31,0.06653337553446372,0.6100892095187852
2000,Australian Open,australian open,Hard,1.0472950376418322,127,0.08401723621221416,0.6361993146741187
2000,Brighton,brighton,Hard,0.985653975385925,31,0.07968552646184318,0.6150363049413063
2000,Canada Masters,canada masters,Hard,1.059473127638197,63,0.0871546997615448,0.6368333513577388
2000,Chennai,chennai,Hard,0.9815281626365949,31,0.07151621207563906,0.6258688760113743
2000,Cincinnati Masters,cincinnati masters,Hard,1.0617292472055886,63,0.09114088244287483,0.6316575943565035
2000,Copenhagen,copenhagen,Hard,0.9725178267406228,31,0.06799713075261753,0.6272617262101
